,state,type,clust
PATRA,PA,TRA,t
PANDU,PA,NDU,r
PAHLT,PA,HLT,e
PADUR,PA,DUR,w
PAACC,PA,ACC,w
PAUTI,PA,UTI,g
PAMNG,PA,MNG,i
PAADM,PA,ADM,i
PAMIN,PA,MIN,f
PARER,PA,RER,k
PAEDC,PA,EDC,k
PAART,PA,ART,k
PAOTH,PA,OTH,j
PAFIN,PA,FIN,n
PAWHO,PA,WHO,w
PAPRO,PA,PRO,e
PAGOV,PA,GOV,s
PACON,PA,CON,v
RIINF,RI,INF,x
RIRET,RI,RET,v
RITRA,RI,TRA,q
RINDU,RI,NDU,b
RIHLT,RI,HLT,k
RIDUR,RI,DUR,a
RIACC,RI,ACC,w
RIUTI,RI,UTI,m
RIMNG,RI,MNG,f
RIADM,RI,ADM,f
RIRER,RI,RER,q
RIEDC,RI,EDC,p
RIART,RI,ART,f
RIOTH,RI,OTH,j
RIFIN,RI,FIN,n
RIWHO,RI,WHO,f
RIPRO,RI,PRO,h
RIGOV,RI,GOV,d
RICON,RI,CON,d
SCINF,SC,INF,h
SCAGR,SC,AGR,b
SCRET,SC,RET,a
SCTRA,SC,TRA,a
SCNDU,SC,NDU,c
SCHLT,SC,HLT,e
SCDUR,SC,DUR,f
SCACC,SC,ACC,f
SCUTI,SC,UTI,g
SCMNG,SC,MNG,t
SCADM,SC,ADM,i
SCMIN,SC,MIN,b
SCRER,SC,RER,i
SCEDC,SC,EDC,k
SCART,SC,ART,k
SCOTH,SC,OTH,j
SCFIN,SC,FIN,q
SCWHO,SC,WHO,t
SCPRO,SC,PRO,e
SCGOV,SC,GOV,m
SCCON,SC,CON,j
SDINF,SD,INF,e
SDAGR,SD,AGR,y
SDRET,SD,RET,f
SDTRA,SD,TRA,v
SDNDU,SD,NDU,f
SDHLT,SD,HLT,e
SDDUR,SD,DUR,i
SDACC,SD,ACC,t
SDUTI,SD,UTI,g
SDMNG,SD,MNG,f
SDADM,SD,ADM,k
SDMIN,SD,MIN,p
SDRER,SD,RER,i
SDEDC,SD,EDC,l
SDART,SD,ART,l
SDOTH,SD,OTH,v
SDFIN,SD,FIN,q
SDWHO,SD,WHO,i
SDPRO,SD,PRO,i
SDGOV,SD,GOV,u
SDCON,SD,CON,b
TNINF,TN,INF,e
TNAGR,TN,AGR,b
TNRET,TN,RET,a
TNTRA,TN,TRA,v
TNNDU,TN,NDU,c
TNHLT,TN,HLT,e
TNDUR,TN,DUR,w
TNACC,TN,ACC,a
TNUTI,TN,UTI,l
TNMNG,TN,MNG,f
TNADM,TN,ADM,i
TNMIN,TN,MIN,d
TNRER,TN,RER,i
TNEDC,TN,EDC,g
TNART,TN,ART,f
TNOTH,TN,OTH,j
TNFIN,TN,FIN,n
