,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2010-10-01,184516.7,54586.59999999999,261717.90000000002,108029.5,2095731.6999999997,269910.5,246396.10000000006,60007.7,773198.3999999999,439391.5999999999,71986.90000000001,58315.4,702433.4,298429.7,150369.69999999998,137800.40000000002,174630.50000000003,245341.4,53560.40000000001,332630.1,430392.89999999997,407915.2,292776.30000000005,99963.4,269651.3,40893.40000000001,99103.2,130447.29999999999,66886.6,515358.6,88672.5,1252425.6,439673.39999999997,39129.2,529422.7000000001,160717.0,169840.00000000003,631615.9999999999,51629.399999999994,171902.29999999996,40954.50000000001,269019.80000000005,1317517.7000000002,125845.3,28399.7,440975.39999999997,384798.0,69429.40000000001,269056.9,39729.499999999985
2011-01-01,183307.40000000002,53065.0,260675.49999999994,107788.20000000003,2088293.9,267038.4,240568.20000000004,60870.100000000006,760924.1,438719.10000000003,71850.79999999999,57421.4,701870.3,295663.39999999997,149820.5,136758.3,172084.90000000002,237065.4,53103.0,330888.5,425040.69999999995,408628.49999999994,287699.89999999997,98500.39999999998,265646.1,41157.4,101982.20000000001,128953.1,65928.1,506521.6,85654.29999999999,1277609.2000000002,437641.4,39261.00000000001,531584.3,159186.1,173132.1,622159.8,50313.700000000004,172562.8,41665.09999999999,270198.10000000003,1325211.7999999998,125872.00000000001,28259.0,438162.79999999993,384652.6000000001,68247.29999999999,267169.8,39137.200000000004
2011-04-01,184250.19999999998,54172.99999999999,261654.79999999993,108004.40000000001,2093547.6,268043.79999999993,243227.40000000002,61382.0,767275.6,438197.70000000007,71802.5,57690.8,706541.3,296127.3,149525.6,139236.1,173092.90000000002,233813.2,52898.8,334409.10000000003,439098.10000000003,407651.8000000001,292656.70000000007,98504.49999999999,266481.89999999997,41274.1,101908.90000000001,130942.5,66957.6,510209.6000000001,86967.5,1262851.5000000002,443141.29999999993,40642.9,535795.1,163594.3,173710.90000000002,629937.4,51590.3,174904.2,42346.9,273684.49999999994,1342243.5999999999,127259.59999999999,28662.900000000005,440522.1,386069.49999999994,69761.6,269448.3,39221.2
2011-07-01,185078.3,54788.899999999994,262565.7,108208.40000000002,2086173.2000000002,268495.89999999997,241537.5,62154.0,760682.8999999999,439577.3,71686.0,57625.49999999999,705402.0,295498.5999999999,150469.2,138788.6,173677.80000000002,230938.09999999998,52742.399999999994,335119.39999999997,433308.1,408991.5,290065.6,98355.49999999999,266138.9,41270.4,101327.50000000001,129565.80000000002,66617.9,509688.70000000007,87410.3,1259185.4,437435.6,42237.100000000006,539578.5,166977.2,172628.80000000002,633227.5999999999,51217.3,173835.49999999997,42560.1,275654.0,1344793.0999999999,127099.69999999998,28629.4,441434.4000000001,386248.69999999995,69879.2,271456.29999999993,39098.100000000006
2011-10-01,187640.80000000002,57076.2,267900.89999999997,109235.7,2099630.4000000004,271183.1,242817.2,62197.4,766209.9,443101.0,72981.9,58398.0,714213.7,299056.60000000003,155286.19999999998,139556.6,177425.7,234682.30000000002,53600.1,336740.2,441200.9,420589.5,292071.89999999997,99509.29999999999,268612.89999999997,42225.9,104214.90000000001,129446.59999999999,67847.6,517367.89999999997,88802.19999999998,1276096.1,438631.2000000001,45813.59999999999,548287.4,170991.2,175967.69999999998,640683.7,51405.2,175232.5,44587.2,279638.8,1371729.9999999998,127914.29999999999,29397.5,446247.5999999999,394552.8,70681.30000000002,273388.69999999995,39754.3
2012-01-01,187324.40000000002,57050.4,267962.89999999997,109868.99999999999,2128298.3,272102.2,243289.9,62935.8,768632.5999999999,443648.2,73205.3,57714.6,722589.7000000001,298753.3,156977.00000000003,145324.39999999997,176805.30000000002,236995.40000000002,53209.981250000004,337329.3,441706.89999999997,418574.9,294333.7,101043.20000000001,270080.5,42182.4,101613.6,129209.0,67026.20000000001,521665.70000000007,88002.20000000001,1297828.5,443747.6000000001,48516.299999999996,540652.3,172539.5,175952.7,640177.7,51570.0,176573.7,44318.4,282020.79999999993,1391213.7000000002,129138.90000000001,28966.3,444616.69999999995,399537.10000000003,69951.09999999999,275762.8,39069.299999999996
2012-04-01,187576.29999999996,58577.8,269047.5,109308.7,2131433.0,273696.60000000003,243967.2,62113.6,766418.3999999999,444598.50000000006,73704.70000000001,57811.200000000004,723674.6999999998,299314.10000000003,159232.0,142321.0,177316.80000000002,237622.8,53492.679999999986,334074.2,445307.30000000005,419040.49999999994,294024.0,100461.40000000002,269482.19999999995,41858.5,102972.3,128410.50000000001,67300.2,519500.1,88894.6,1318376.7000000002,438328.50000000006,51631.499999999985,542971.9,173912.8,175514.90000000002,642721.0999999999,51636.8,175502.59999999998,44084.600000000006,285139.60000000003,1404959.3,128600.39999999998,29269.9,445048.8,401106.6,70191.0,275564.1,39067.30000000001
2012-07-01,185318.8,58115.59999999999,267842.39999999997,108268.70000000001,2143311.8000000003,273018.39999999997,243602.59999999995,61366.99999999999,772379.9,444749.8,73906.89999999998,58036.6,720280.2,297839.4,157936.80000000002,137298.7,176359.29999999996,231397.9,52862.01000000001,336012.89999999997,446389.70000000007,419578.30000000005,294895.7,99277.90000000001,267792.49999999994,42015.1,101913.3,127868.09999999999,67841.7,522837.5999999999,87400.5,1330381.8,439691.0999999999,52565.200000000004,541582.2000000001,172867.80000000002,174850.8,643884.0,51581.19999999999,175227.3,41754.799999999996,283498.19999999995,1410903.4999999998,127970.49999999999,28921.300000000003,446047.5,403652.6,69063.29999999999,273250.9,37890.4
2012-10-01,184976.6,56936.799999999996,268302.5,107534.2,2174946.3,275261.0,244343.9,59817.799999999996,769805.6,443532.9,73513.80000000002,57495.5,716264.8999999999,294304.2,154857.1,136967.30000000002,174727.9,228476.19999999998,51912.93750000001,331869.99999999994,443915.99999999994,418235.69999999995,293932.6,97675.59999999998,267691.0,41967.700000000004,102576.6,126683.99999999999,68589.00000000001,514980.10000000003,86109.00000000003,1343204.9000000001,436516.50000000006,52666.8,538071.1000000001,174615.19999999995,171654.4,638486.4,51273.3,174195.80000000002,43620.600000000006,284228.30000000005,1438438.8000000003,129173.59999999999,28391.399999999998,444086.8,399156.8,68390.2,272797.7,37699.6
2013-01-01,188928.69999999998,56280.99999999999,269492.7,111742.2,2176366.8000000003,279970.8,242270.4,58368.89999999999,779732.4,449623.19999999995,74673.4,58839.1,724893.9,304637.0,156515.59999999998,138871.49999999997,180475.69999999998,228504.00000000003,52751.600000000006,335952.8,443207.6,423803.6999999999,296808.5,100134.1,272749.80000000005,42445.100000000006,105491.79999999997,128396.3,68837.79999999999,527254.3999999999,86526.4,1308902.9,441814.00000000006,51454.700000000004,547594.5,176695.6,174095.0,647112.1,52264.99999999999,178131.3,43560.299999999996,288102.50000000006,1452320.8,130912.9,28763.0,448955.80000000005,408626.9,70113.0,275528.1,38808.4
