0,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
2012-07-01,85510.0,9525.6,36490.26666666666,55355.8,627437.5,3949.3999999999996,39358.850000000006,42872.6,235674.0,463406.3333333333,9717.5,358113.26666666666,4351.633333333333,5040.933333333333,8016.799999999998,9612.633333333331,21814.43333333333,1620.7999999999997,145314.65,71128.75,86692.49999999999,36855.799999999996,30461.75,7866.75,17168.0,42657.0,95117.1,482359.6
2012-10-01,88620.0,9537.45,37083.43333333333,55523.05,623899.0,4059.8000000000006,39673.100000000006,42044.149999999994,241015.0,474873.00000000006,9228.75,373090.5,4250.366666666666,5174.4,7759.733333333334,10291.833333333334,22368.26666666667,1593.9000000000003,149158.44999999998,72724.55,92379.1,36848.4,31736.699999999997,7740.349999999999,16776.350000000002,44301.00000000001,95771.8,478177.4
2013-01-01,86163.0,8371.35,34263.700000000004,54710.899999999994,620760.5,3997.0499999999997,39839.15,38902.85,228248.0,472450.6666666666,8836.55,347303.99999999994,4046.566666666666,4611.733333333334,7270.899999999999,9893.1,20020.88333333333,1614.9,146859.55000000002,70124.75,85050.35,36619.95,27456.550000000007,7479.250000000001,16249.900000000001,42019.333333333336,96008.04999999999,458791.5
2013-04-01,88038.0,8850.7,35516.13333333333,55949.95,630876.5,4159.599999999999,41223.3,40687.5,235383.0,477086.33333333343,9218.1,360740.8,4065.866666666667,4982.4333333333325,7843.599999999999,10346.8,21370.049999999996,1685.15,150253.7,71419.20000000001,85904.9,37489.350000000006,30334.9,7945.900000000001,16842.449999999997,44022.66666666667,98073.59999999999,455431.75
2013-07-01,86638.5,9233.15,35681.16666666667,56226.05,645585.5,4182.9,41801.45,41159.4,231580.0,468956.9999999999,9538.25,360275.5,4060.1,5199.933333333333,8483.933333333336,10381.366666666665,21953.95,1727.1000000000001,147452.15,72600.8,85472.95000000001,37725.99999999999,33500.65,7963.949999999999,17325.9,43797.0,94868.19999999998,460854.45
2013-10-01,90039.0,9577.150000000003,35703.8,56962.85,647674.0,4260.45,42086.65000000001,39394.85,240405.0,481908.0,9012.349999999999,375530.6333333333,3961.8333333333335,5309.433333333334,8101.733333333334,10898.8,22692.566666666666,1694.7500000000002,151169.95,74369.3,94085.15,37933.1,35248.5,7927.95,17103.8,45163.0,97069.00000000001,477620.9
2014-01-01,87972.5,8252.6,33453.36666666667,56281.15,651891.5,4202.55,42946.950000000004,37887.200000000004,228209.0,479933.66666666657,8715.000000000002,354256.1666666667,3792.3999999999996,4845.7,7696.100000000001,10662.033333333333,20768.783333333333,1780.8500000000001,149198.05000000002,72300.25,87381.25,36987.100000000006,28475.050000000003,7811.8,16492.7,42716.666666666664,95388.4,492184.9
2014-04-01,89746.0,8977.3,35480.200000000004,57316.0,654315.0,4403.900000000001,45441.0,39630.65,237334.0,481323.00000000006,9160.25,364285.5333333333,3900.566666666667,5146.0999999999985,8241.866666666665,10681.800000000001,22380.36666666667,1861.35,151186.05,73564.40000000001,89762.25,38234.950000000004,32277.05,8262.5,17174.350000000002,44371.33333333333,97244.15,502205.2
2014-07-01,88382.5,9830.7,35813.83333333333,57626.149999999994,669057.0,4384.9,45620.549999999996,40873.850000000006,234340.5,476979.6666666667,9397.9,361989.1666666667,3907.1333333333337,5352.4333333333325,8749.366666666669,11055.866666666667,22580.81666666667,1906.9,149689.4,74690.1,91155.00000000001,38247.799999999996,35309.25,8294.9,17786.15,44275.666666666664,93633.0,519826.7
2014-10-01,91965.5,10047.4,36801.63333333333,59363.399999999994,673382.0,4513.599999999999,45264.2,39402.700000000004,244586.5,490071.99999999994,9007.800000000001,377914.06666666665,3845.2000000000003,5465.1,8382.266666666665,11977.533333333333,23315.86666666667,1922.2,154790.64999999997,76735.5,96264.05,37895.299999999996,36990.450000000004,8128.750000000001,17454.249999999996,45623.33333333333,97730.35,528076.7000000001
2015-01-01,89866.5,8778.300000000001,35369.66666666667,58505.25,672117.0,4294.25,62103.20000000001,37746.1,236069.0,492031.6666666667,8731.0,357281.69999999995,3759.7000000000003,4933.166666666666,7739.133333333334,11449.233333333334,21758.61666666667,2018.6,150999.69999999998,74085.04999999999,91222.05,38225.95,30616.1,8038.500000000001,17100.100000000002,43495.666666666664,95789.65,563650.85
2015-04-01,92511.5,9779.8,37858.5,59455.25,680918.5,4501.400000000001,59155.6,39505.649999999994,245763.0,490550.66666666674,9351.800000000001,369497.0,3926.3,5337.500000000001,8378.266666666666,11496.666666666668,23373.03333333333,2138.9,156580.65000000002,76045.70000000001,95465.65,39515.25,33112.799999999996,8463.600000000002,17709.2,45438.66666666667,100821.24999999999,585186.7500000001
2015-07-01,91082.5,10170.5,38828.73333333333,59053.55,693247.0,4513.249999999999,61635.850000000006,40066.549999999996,244382.0,485574.66666666657,9678.55,369536.3333333333,3946.4666666666667,5548.133333333334,8950.566666666668,11323.5,23406.06666666667,2206.3,155197.95,77518.7,93881.6,39517.25,37921.2,8516.75,18400.249999999996,45146.0,97724.74999999999,588396.85
2015-10-01,94644.0,10400.800000000001,39621.700000000004,59908.25,697629.0,4597.400000000001,62421.3,39157.65,254778.0,499225.6666666667,9268.4,388184.13333333336,3953.6666666666656,5544.400000000001,8656.099999999999,12368.166666666664,24575.53333333333,2171.1,158098.19999999998,79381.34999999999,100790.20000000001,39580.25000000001,38991.9,8536.6,18236.7,46737.666666666664,103624.05,594169.3
2016-01-01,92452.0,9393.85,37882.833333333336,59119.100000000006,698199.5,4447.799999999999,62351.95,36834.399999999994,244796.5,500396.3333333333,9075.3,367907.0666666667,3858.766666666667,5010.500000000001,8012.766666666666,11739.933333333332,22247.333333333332,2200.5,154709.1,77413.99999999999,90575.85,39498.450000000004,32979.100000000006,8348.399999999998,17482.749999999996,44507.00000000001,100412.4,562812.55
2016-04-01,95408.5,10036.3,39847.19999999999,61580.649999999994,711489.0,4654.599999999999,61748.350000000006,38677.75,255207.5,496820.99999999994,9674.7,379760.80000000005,4054.1,5418.433333333334,8628.633333333333,12043.6,23867.949999999997,2276.95,159975.5,78531.65000000001,92205.40000000001,40672.3,36798.9,8774.050000000001,18329.05,46819.0,105516.84999999999,553575.95
2016-07-01,93887.0,10918.749999999998,39993.13333333333,61053.450000000004,716243.0,4707.25,61714.850000000006,39888.75,252954.5,489157.33333333326,10154.049999999997,376926.19999999995,4127.933333333333,5590.966666666666,9179.933333333334,11978.833333333334,24435.766666666666,2345.3,157973.84999999998,79599.35,93412.54999999999,40949.40000000001,40319.4,8872.000000000002,18853.2,46539.666666666664,100305.54999999999,516387.55000000005
2016-10-01,97528.5,11118.8,40756.53333333333,62944.4,718985.0,4874.95,68875.0,38549.34999999999,261880.5,503870.33333333326,9770.550000000001,393419.79999999993,4158.900000000001,5787.666666666667,9123.6,12524.033333333333,25742.183333333334,2335.4,162086.59999999998,82129.8,100539.55,41105.95,42862.899999999994,8945.1,18771.300000000003,48122.333333333336,102932.75,515647.1
2017-01-01,95937.0,10046.4,39286.96666666667,63158.649999999994,723294.0,4830.55,64993.05000000002,37483.75000000001,253544.5,506264.6666666666,9586.05,375121.7,4069.7666666666673,5362.4333333333325,8639.566666666668,12194.0,24017.199999999997,2384.7999999999997,160193.4,80435.54999999999,96259.35,41145.75,36768.600000000006,8827.6,18122.199999999997,46739.33333333332,103347.15,525865.25
2017-04-01,98511.5,10981.55,42770.5,63835.65000000001,733014.5,5131.650000000001,65252.450000000004,39395.6,265877.5,509804.6666666667,10129.4,387169.3666666667,4274.866666666667,5861.033333333333,9342.366666666667,12387.366666666667,25954.050000000003,2502.9500000000007,166538.9,81709.04999999999,100811.50000000001,42481.84999999999,40485.74999999999,9383.25,19020.799999999996,48449.0,105693.95,525912.85
