,ACC,ADM,AGR,ART,CON,DUR,EDC,FIN,GOV,HLT,INF,MIN,MNG,NDU,OTH,PRO,RER,RET,TRA,UTI,WHO
2011-10-01,440728.30000000005,458822.7,196148.394140625,162194.10000000006,540613.2999999998,1056375.7999999998,208265.89999999997,1088029.8000000003,2017018.3,1174222.2000000002,756503.8,342484.448046875,279696.20000000007,892738.3999999999,334858.9,1129767.8,2085317.6999999997,905871.9999999999,469818.10000000003,289946.9,992525.6000000001
2012-01-01,447425.7,470698.2,188702.28125,169038.30000000002,552948.1999999998,1059806.7,210835.1,1131242.0999999999,2015000.9999999995,1187402.6999999997,753018.5000000002,347406.30000000005,293333.60000000003,897956.9999999999,339147.79999999993,1152926.3,2073057.0000000002,911620.3,474001.8999999999,274771.99999999994,977403.7000000002
2012-04-01,444508.8000000001,469300.49999999994,182493.26000000004,169579.5,549776.0000000001,1063617.6,211479.8,1157735.7,2004908.7000000002,1182632.7999999998,762599.3999999999,362624.12000000005,294598.60000000003,877307.2000000002,340083.7,1166311.9000000001,2086974.6,892804.2999999999,471335.00000000006,282331.30000000005,1003311.7000000002
2012-07-01,443730.60000000003,470909.10000000015,174031.74000000002,169714.20000000004,547079.1,1057859.0000000002,209877.60000000003,1178492.4999999995,2004133.1000000003,1184932.4000000001,751127.6999999998,359396.97000000003,301080.3,850818.0999999999,341191.7,1164988.7999999998,2103228.8,913401.8,470530.3000000001,280775.1,1006126.1000000002
2012-10-01,450377.60000000003,472703.39999999997,171391.11874999997,172925.3,558435.9,1065280.6,207874.19999999995,1167837.9999999995,2003358.0000000002,1198291.3,746267.7,365745.71874999994,317307.1999999999,834662.2,341309.9999999998,1174955.6000000006,2090991.4999999998,910896.3999999999,470272.59999999986,275878.2,998225.2000000001
2013-01-01,457480.0,471906.8000000001,195438.9,172540.0,563321.5,1086494.6,205750.99999999997,1083102.8000000003,2002403.4000000004,1206867.9000000004,804084.6999999998,363931.3000000001,305300.2000000001,883408.7000000001,338461.9000000001,1165769.4999999998,2110146.3,939910.5999999999,477286.5,283217.6999999999,1011479.6999999998
2013-04-01,453958.8999999999,475563.60000000015,211888.60000000006,172736.1,563027.0999999999,1080672.3,205713.70000000004,1085971.1,1998220.8000000003,1208077.2000000002,810805.2999999998,367901.80000000005,312366.80000000005,895639.2999999998,336562.80000000005,1157400.8999999997,2111348.5999999996,933119.8,473017.10000000015,276605.9000000001,1005783.3
2013-07-01,454663.99999999994,480831.70000000007,217057.80000000005,172684.39999999997,570392.7999999998,1090361.1000000003,206099.5,1080824.9000000001,1991097.0999999999,1210059.3,824160.1000000001,372999.4,321366.89999999997,909581.1000000002,336908.69999999995,1168360.6,2142195.4000000004,931818.0000000002,476797.3,274251.99999999994,1022402.1000000002
2013-10-01,458576.39999999997,484113.1000000001,210461.30000000002,177151.50000000006,566411.1999999998,1093792.8999999997,208177.89999999997,1111141.3000000003,1979949.4999999995,1214435.3999999997,848193.7999999998,386696.1,327223.30000000005,904603.6000000004,339172.8000000001,1182968.8,2151318.8000000007,936842.0000000001,486805.80000000005,267650.10000000003,1036917.6999999998
2014-01-01,460910.29999999993,487441.39999999997,202975.40000000002,179162.29999999996,565849.7000000001,1071389.7999999998,208263.20000000004,1124228.4999999995,1983849.2999999998,1214092.2000000002,827174.7,377043.80000000005,335913.50000000006,909473.8999999999,340038.00000000006,1184807.6,2143371.2,940691.6999999996,481058.99999999994,255570.09999999998,1023672.0
