0,A,B,F,G,J,K,L,M,O,R
2013-10-01,55245.88333333334,596737.1000000001,171190.23333333334,578595.8999999999,153962.53333333335,166493.63333333333,353187.9500000001,332801.51666666666,604714.1666666669,109975.58333333337
2014-01-01,48031.233333333344,598766.9666666666,155775.75,568846.3666666666,150542.05000000002,169067.21666666667,355246.4666666667,327721.70000000007,589796.1000000001,108689.83333333336
2014-04-01,52140.25000000001,600151.8999999999,166046.0166666667,590328.7833333332,152492.46666666667,172796.28333333335,360481.75,335759.48333333334,593708.5,110001.6833333333
2014-07-01,56651.13333333334,596272.5333333334,169010.83333333334,604088.0666666667,152929.45,171949.65,364212.1833333333,339505.2666666666,594843.15,111294.93333333332
2014-10-01,53841.1,616233.3499999999,175065.13333333333,603970.0,160122.81666666665,175170.68333333332,365947.6000000001,351300.1666666668,621962.4333333332,113305.01666666669
2015-01-01,46626.98333333332,636370.2,161514.78333333333,602310.1166666667,160828.9333333333,175507.46666666667,372369.7666666667,348841.2333333333,610202.9833333334,113203.23333333332
2015-04-01,50824.71666666665,644302.6666666665,175406.68333333335,627561.0833333333,163908.0,176459.0,380488.15,360303.23333333334,617104.3166666668,115480.99999999999
2015-07-01,57256.366666666676,636925.5833333334,176741.58333333337,638164.8666666666,163608.08333333334,172551.21666666667,383405.31666666665,363130.23333333334,616690.5166666666,116898.05
2015-10-01,55529.4,654683.3666666665,185431.68333333332,636226.1000000001,172220.01666666666,178318.6,384146.5,375338.26666666666,643488.1000000001,119869.45
2016-01-01,46793.78333333333,652697.1166666667,166442.98333333334,616447.0833333335,165396.3333333333,173858.51666666672,380891.9833333333,362415.91666666674,623515.2166666668,116207.09999999998
2016-04-01,50719.78333333333,655814.5666666665,178391.86666666667,636181.3666666667,166172.16666666663,176017.38333333333,382873.66666666674,372029.44999999995,627395.3666666666,116799.04999999997
2016-07-01,56290.31666666667,638484.6666666667,176032.54999999996,637107.25,164992.23333333334,171761.7499999999,377959.6333333333,363588.31666666653,616504.5499999999,115748.25
2016-10-01,55546.75000000001,666011.6333333331,183856.76666666666,637906.7333333333,172730.3666666667,169396.71666666667,377606.93333333323,372963.2,640929.8999999999,118439.88333333333
2017-01-01,50080.549999999996,669075.3333333335,170792.21666666665,632025.9333333333,168286.51666666666,169110.86666666664,381255.7666666666,372209.95000000007,627568.2166666667,117513.8833333333
2017-04-01,55283.80000000002,670405.6999999998,184977.1,658887.9999999999,170630.21666666665,171111.3833333333,386220.8666666667,381469.73333333334,634084.6999999998,119612.36666666665
2017-07-01,62244.98333333335,667479.1333333334,186377.53333333333,666119.6,170775.40000000002,165365.75,386347.41666666657,380381.55,628898.9833333332,120191.54999999999
2017-10-01,59987.25000000001,697064.7666666666,195786.13333333336,666310.3499999999,179533.13333333336,169230.6833333333,387985.7499999999,393509.30000000005,659119.5333333333,122367.55
2018-01-01,51088.34999999999,693475.6666666666,182129.88333333333,655064.7833333334,175766.1333333333,168738.03333333333,390326.8833333334,389721.68333333335,644236.1333333333,120465.83333333334
2018-04-01,55132.116666666676,693416.4833333332,197790.30000000002,679871.7166666666,178217.85,170971.98333333334,394421.8166666665,399878.71666666656,651389.9333333336,121090.21666666667
2018-07-01,62324.86666666667,683135.65,200109.81666666665,687134.1499999999,179319.68333333338,167489.0,395793.05000000005,398071.01666666666,646610.25,121594.36666666664
