"","eu_clusted@cluster","eu_clusted@cluster"
"WAPRO",16,16
"WAGOV",15,15
"WACON",4,4
"WVINF",7,7
"WVAGR",11,11
"WVRET",1,1
"WVTRA",6,6
"WVNDU",1,1
"WVHLT",5,5
"WVDUR",2,2
"WVACC",6,6
"WVUTI",6,6
"WVMNG",8,8
"WVADM",7,7
"WVMIN",9,9
"WVRER",5,5
"WVEDC",11,11
"WVART",11,11
"WVOTH",7,7
"WVFIN",2,2
"WVWHO",2,2
"WVPRO",2,2
"WVGOV",3,3
"WVCON",2,2
"WIINF",9,9
"WIAGR",5,5
"WIRET",4,4
"WITRA",9,9
"WINDU",16,16
"WIHLT",16,16
"WIDUR",10,10
"WIACC",5,5
"WIUTI",1,1
"WIMNG",5,5
"WIADM",5,5
"WIMIN",8,8
"WIRER",10,10
"WIEDC",2,2
"WIART",6,6
"WIOTH",5,5
"WIFIN",4,4
"WIWHO",4,4
"WIPRO",3,3
"WIGOV",10,10
"WICON",3,3
"WYINF",8,8
"WYAGR",8,8
"WYRET",6,6
"WYTRA",2,2
"WYNDU",6,6
"WYHLT",7,7
"WYDUR",11,11
"WYACC",7,7
"WYUTI",8,8
"WYMNG",12,12
"WYADM",11,11
"WYMIN",3,3
"WYRER",2,2
"WYEDC",12,12
"WYART",12,12
"WYOTH",8,8
"WYFIN",8,8
"WYWHO",7,7
"WYPRO",7,7
"WYGOV",5,5
"WYCON",6,6
